Run ID,Name,Source Type,Source Name,User,Status,gamma,lambda_sparse,n_a,n_d,n_steps,verbose,mse_test,mse_valid
e6aa388a173a4c758480436a79ebea39,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,1,4,4,1,0,118118.94999695009,61263.140625
4c32cc9d54e44f93b5c869f14586f7d6,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1,1,4,4,1,0,118118.94999695009,61263.140625
b96485a9a61c44829cbb95e482bf96d9,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,100,8,8,1,0,119456.51833737231,65361.00390625
c07fc4ae3a164e98980ece41a4e46768,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1,100,8,8,1,0,119456.51833737231,65361.00390625
282c9c88ebd34053af32e5f798280269,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,0.1,8,8,1,0,120121.82053396273,67164.359375
a94545221814478d80c016a9b7b6942c,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1,0.1,8,8,1,0,120121.82053396273,67164.359375
7070298490de44e9a98ce7736ce28ec5,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,0.001,8,8,1,0,120121.82265119118,67164.359375
11a8656fb16b462eaf3fb4b9a21236ca,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1,0.001,8,8,1,0,120121.82265119118,67164.359375
ba44a2bb05084c86af0b3264c28b5d33,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,1,8,8,1,0,120121.83231511764,71153.578125
b4d603e6c2c34d1db96bb0b7ea78827b,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1,1,8,8,1,0,120121.83231511764,71153.578125
7c1b41f7d0bd4673813a5cb1254c39d1,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,10,8,8,1,0,128845.74624734854,66625.703125
ba42b42f922241699a6f414acb94f678,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1,10,8,8,1,0,128845.74624734854,66625.703125
017a0e091b3f48378be502589c491449,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,0.1,16,16,1,0,134819.07554423096,2651.77587890625
0fc54e9e61d04ad68c78c1d3e44b9cca,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1,0.1,16,16,1,0,134819.07554423096,2651.77587890625
7b268e9aafe04240a33e019398227a73,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,0.1,4,4,1,0,150632.34697505395,84656.546875
3cf3a18c690e45b9a5f855f666387937,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1,0.1,4,4,1,0,150632.34697505395,84656.546875
d3a48c144e814e628eac0d56bb97c727,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1,100,16,16,3,0,196283.48422576566,10340.0869140625
1957966ce22d4853a1d0572df3f8570e,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,0.001,16,16,1,0,768322.9347909337,13226.6513671875
bb68f5b9db3546bd8259185aea71bbff,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1,0.001,16,16,1,0,768322.9347909337,13226.6513671875
