Run ID,Name,Source Type,Source Name,User,Status,gamma,lambda_sparse,n_a,n_d,n_steps,verbose,mse_valid
ac972d1a21164b11b677ba59d283c294,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,100,16,16,3,0,6763.52685546875
d45575631ac04642ba021c356fcd5ff3,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,100,8,8,3,0,4965.5654296875
6a719b6591004027830b326f6b6ca2cd,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,100,4,4,3,0,4945.5302734375
a7a8f71da9734b989bd3419ebb5c9da1,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,100,3,3,3,0,1016.2469482421875
a678389ffef34bbbb6d5c04e109c0eb0,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,10,16,16,3,0,14177.6064453125
3b39f87d694447339279084ec72cd2d2,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,10,8,8,3,0,3734.656005859375
2d71cab3ba7541a2a0307a7180fefdea,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,10,4,4,3,0,4367.33447265625
4562c581b2554202ad15c35f281b5739,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,10,3,3,3,0,3210.99267578125
551cd695891c4ab7a02d8873793a4ef9,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,1,16,16,3,0,10279.78515625
d82db4b6f61b49d4a23ba2d675291a90,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,1,8,8,3,0,6476.66650390625
f8bc7137258e429096bd885c2ae66d70,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,1,4,4,3,0,4135.2490234375
b00a8e5ad41f45c28f17efccaf288333,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,1,3,3,3,0,3159.625
a1dc92a20bbf44cdae6721b807a81ee6,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,0.1,16,16,3,0,5313.771484375
5c404c9cc3864b23896e92613b474b03,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,0.1,8,8,3,0,3501.22607421875
0d74ba946caf47c5a5c7fb510004da95,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,0.1,4,4,3,0,2529.85302734375
7cf15bc9116d4645905cefde646a690f,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,0.1,3,3,3,0,913.2730102539062
cbb3905b04d04491b3bd314f9e8ec3ee,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,0.001,16,16,3,0,13896.6005859375
232056b4e50d4ceeb7b67956936844c2,,LOCAL,/home/user/miniconda/lib/python3.8/site-packages/ipykernel_launcher.py,root,FINISHED,1.3,0.001,8,8,3,0,4599.49365234375
